long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
-66.590149;United States;Puerto Rico;;;18.220833;35749;0;538;0;391;0
-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
-86.902298;United States;Alabama;;US-AL;32.318231;141498;0;2389;0;41523;0
-154.493062;United States;Alaska;;US-AK;63.588753;6487;0;43;0;1192;0
-111.093731;United States;Arizona;;US-AZ;34.048928;204687;0;5175;0;27029;0
-91.831833;United States;Arkansas;;US-AR;35.20105;64783;0;876;0;45446;0
-119.417932;United States;California;;US-CA;36.778261;733359;0;14030;0;247019;0
-105.782067;United States;Colorado;;US-CO;39.550051;59147;0;1978;0;20090;0
-73.087749;United States;Connecticut;;US-CT;41.603221;53500;0;4471;0;30015;0
139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
-75.52767;United States;Delaware;;US-DE;38.910832;17752;0;607;0;8613;0
-77.0369;United States;District of Columbia;;US-DC;38.9072;14186;0;611;0;10416;0
-81.515754;United States;Florida;;US-FL;27.664827;640214;0;19119;0;53305;0
-82.907123;United States;Georgia;;US-GA;32.157435;280378;0;5942;0;37946;0
-155.665857;United States;Hawaii;;US-HI;19.898682;9476;0;81;0;1756;0
-114.742041;United States;Idaho;;US-ID;44.068202;33898;0;396;0;10369;0
-89.398528;United States;Illinois;;US-IL;40.633125;248583;0;8396;0;146699;0
-85.602364;United States;Indiana;;US-IN;40.551217;106391;0;3547;0;59073;0
-93.097702;United States;Iowa;;US-IA;41.878003;68748;0;1159;0;39943;0
-98.484246;United States;Kansas;;US-KS;39.011902;46339;0;490;0;21063;0
-84.270018;United States;Kentucky;;US-KY;37.839333;55513;0;1031;0;9021;0
-92.145024;United States;Louisiana;;US-LA;31.244823;151951;0;5041;0;103512;0
-69.445469;United States;Maine;;US-ME;45.253783;4641;0;134;0;3604;0
-76.641271;United States;Maryland;;US-MD;39.045755;109289;0;3763;0;5986;0
-71.382437;United States;Massachusetts;;US-MA;42.407211;138033;0;9208;0;100486;0
-85.602364;United States;Michigan;;US-MI;44.314844;116250;0;6813;0;63636;0
-94.6859;United States;Minnesota;;US-MN;46.729553;79033;0;1903;0;56659;0
-89.398528;United States;Mississippi;;US-MS;32.354668;85940;0;2559;0;49836;0
-91.831833;United States;Missouri;;US-MO;37.964253;91207;0;1692;0;9997;0
-110.362566;United States;Montana;;US-MT;46.879682;8048;0;114;0;4011;0
-99.901813;United States;Nebraska;;US-NE;41.492537;35809;0;415;0;22004;0
-116.419389;United States;Nevada;;US-NV;38.80261;70817;0;1384;0;26011;0
-71.572395;United States;New Hampshire;;US-NH;43.193852;7375;0;432;0;6218;0
-74.405661;United States;New Jersey;;US-NJ;40.058324;199294;0;16053;0;155415;0
-105.032363;United States;New Mexico;;US-NM;34.97273;27881;0;799;0;10182;0
-74.217933;United States;New York;;US-NY;43.299428;466372;0;33731;0;350527;0
-79.0193;United States;North Carolina;;US-NC;35.759573;174909;0;2881;0;116969;0
-101.002012;United States;North Dakota;;US-ND;47.551493;12977;0;151;0;7066;0
145.75;United States;Northern Mariana Islands;;;15.183333;68;0;4;0;11;0
-82.907123;United States;Ohio;;US-OH;40.417287;128471;0;4311;0;84904;0
-97.092877;United States;Oklahoma;;US-OK;35.007752;62092;0;848;0;39282;0
-120.554201;United States;Oregon;;US-OR;43.804133;27606;0;481;0;4355;0
-77.194525;United States;Pennsylvania;;US-PA;41.203322;142540;0;7843;0;95901;0
-71.477429;United States;Rhode Island;;US-RI;41.580095;22589;0;2093;0;1953;0
-81.163725;United States;South Carolina;;US-SC;33.836081;124474;0;2848;0;42730;0
-99.901813;United States;South Dakota;;US-SD;43.969515;14600;0;171;0;8773;0
-86.580447;United States;Tennessee;;US-TN;35.517491;164735;0;2025;0;91323;0
-99.901813;United States;Texas;;US-TX;31.968599;663391;0;13542;0;383717;0
-111.093731;United States;Utah;;US-UT;39.32098;54321;0;427;0;36679;0
-72.577841;United States;Vermont;;US-VT;44.558803;1645;0;59;0;1321;0
-78.656894;United States;Virginia;;US-VA;37.431573;124576;0;2656;0;13477;0
-120.740139;United States;Washington;;US-WA;47.751074;80010;0;2054;0;23404;0
-80.454903;United States;West Virginia;;;38.597626;11064;0;248;0;6144;0
-88.787868;United States;Wisconsin;;US-WI;43.78444;84519;0;1158;0;54181;0
-107.290284;United States;Wyoming;;US-WY;43.075968;4064;0;78;0;2641;0
;United States;Veteran Affairs;;;;6692;0;413;0;0;0
;United States;US Military;;;;6213;0;26;0;1947;0
;United States;Navajo Nation;;;;1540;0;58;0;0;0
;United States;Federal Prisons;;;;1047;0;26;0;507;0
;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
